Incident Category,Incident Day of Week,Incident Year,Analysis Neighborhood,Longitude,Latitude,Report Type Description
Robbery,Saturday,2018,Mission,-122.4105265,37.75753872,Initial
Assault,Friday,2018,Mission,-122.4159287,37.76043326,Initial
Assault,Wednesday,2018,Marina,-122.4354898,37.797089,Initial
Assault,Thursday,2018,Castro/Upper Market,-122.435188,37.76267071,Initial
Fraud,Friday,2018,Western Addition,-122.4307979,37.78256989,Initial
Robbery,Tuesday,2018,Mission,-122.4140267,37.77186371,Initial
Assault,Sunday,2018,Inner Richmond,-122.4640106,37.77723478,Initial
Stolen Property,Wednesday,2018,Bayview Hunters Point,-122.3916476,37.73628804,Initial
Assault,Wednesday,2018,Tenderloin,-122.4160095,37.77777307,Initial Supplement
Robbery,Tuesday,2018,South of Market,-122.4048648,37.78400661,Initial Supplement
Assault,Saturday,2018,Nob Hill,-122.4168272,37.78817789,Initial
Robbery,Thursday,2018,Portola,-122.4047064,37.73031802,Initial
Assault,Saturday,2018,Mission,-122.4219643,37.76572075,Initial
Robbery,Wednesday,2018,Visitacion Valley,-122.4070564,37.71322568,Initial
Fraud,Wednesday,2018,Financial District/South Beach,-122.3958134,37.79115281,Coplogic Initial
Assault,Sunday,2018,Hayes Valley,-122.4267808,37.77066017,Initial
Fraud,Saturday,2018,Sunset/Parkside,-122.4787744,37.74104298,Initial
Fraud,Thursday,2018,Financial District/South Beach,-122.406865,37.78898629,Initial
Robbery,Wednesday,2018,Marina,-122.430559,37.79771621,Initial
Robbery,Thursday,2018,Western Addition,-122.4321404,37.78049626,Initial Supplement
Fraud,Friday,2018,Financial District/South Beach,-122.3986957,37.79888097,Initial
Fraud,Sunday,2018,Financial District/South Beach,-122.3911797,37.78745519,Initial Supplement
Assault,Wednesday,2018,Nob Hill,-122.4107555,37.79153087,Initial
Robbery,Monday,2018,Portola,-122.407539,37.73184673,Initial
Robbery,Friday,2018,Nob Hill,-122.4226942,37.79217464,Initial
Fraud,Friday,2018,Hayes Valley,-122.4377987,37.77499195,Initial
Fraud,Saturday,2018,Nob Hill,-122.4131878,37.79519782,Initial
Assault,Friday,2018,Tenderloin,-122.4124117,37.78300408,Initial Supplement
Robbery,Tuesday,2018,Tenderloin,-122.4129697,37.78578958,Initial
Assault,Saturday,2018,Haight Ashbury,-122.4518657,37.76937866,Initial
Robbery,Thursday,2018,Castro/Upper Market,-122.4326378,37.75942329,Initial
Assault,Tuesday,2018,Mission,-122.4096464,37.74833439,Initial
Assault,Thursday,2018,Mission Bay,-122.3911993,37.77100919,Initial
Fraud,Wednesday,2018,Hayes Valley,-122.4251355,37.77086854,Initial Supplement
Assault,Sunday,2018,Japantown,-122.4415372,37.7850359,Initial
Fraud,Monday,2018,Oceanview/Merced/Ingleside,-122.4622125,37.72526571,Initial
Assault,Monday,2018,Tenderloin,-122.4131481,37.78099378,Initial
Robbery,Thursday,2018,Bayview Hunters Point,-122.3928994,37.72848958,Initial
Robbery,Wednesday,2018,Tenderloin,-122.4147412,37.77871943,Initial
Robbery,Friday,2018,Financial District/South Beach,-122.4044184,37.79263866,Initial
Robbery,Thursday,2018,Tenderloin,-122.4122207,37.78207307,Initial
Assault,Tuesday,2018,Oceanview/Merced/Ingleside,-122.4602345,37.72474885,Initial
Stolen Property,Wednesday,2018,Mission,-122.4148612,37.74923787,Initial
Assault,Thursday,2018,Mission,-122.4126872,37.74936982,Initial
Assault,Wednesday,2018,Bayview Hunters Point,-122.3860341,37.71912235,Initial
Stolen Property,Sunday,2018,Marina,-122.428914,37.79792541,Initial
Fraud,Tuesday,2018,Financial District/South Beach,-122.3983331,37.79709205,Initial
Fraud,Monday,2018,Inner Richmond,-122.4649421,37.77532095,Initial
Assault,Sunday,2018,Tenderloin,-122.4179963,37.78564171,Initial
